sipl,container,supplier,status,OF_status,CUSTOMS_status,DUTY_status,DRAYAGE_status,missing_categories,pending_categories,overall_status
145564B,HPCU2538156,"Compacstone USA, Inc",INTRANSIT,Pending,Complete,Complete,Pending,,"OF, DRAYAGE",Pending
145564C,HPCU2538156,"Compacstone USA, Inc",INTRANSIT,Pending,Complete,Complete,Pending,,"OF, DRAYAGE",Pending
145729B,HPCU2538156,"Compacstone USA, Inc",INTRANSIT,Pending,Complete,Complete,Pending,,"OF, DRAYAGE",Pending
145739,CAIU6195977,"Compacstone USA, Inc",INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
148976C,TGCU2141650,"Compacstone USA, Inc",INTRANSIT,Pending,Complete,Pending,Pending,,"OF, DUTY, DRAYAGE",Pending
149455,MSMU1056280,FMG Shapes Srl,INTRANSIT,Pending,Complete,Pending,Pending,,"OF, DUTY, DRAYAGE",Pending
149455B,MSMU1056280,FMG Shapes Srl,INTRANSIT,Pending,Complete,Pending,Pending,,"OF, DUTY, DRAYAGE",Pending
153361,HPCU2538156,"Compacstone USA, Inc",INTRANSIT,Pending,Complete,Complete,Pending,,"OF, DRAYAGE",Pending
153361B,HPCU2538156,"Compacstone USA, Inc",INTRANSIT,Pending,Complete,Complete,Pending,,"OF, DRAYAGE",Pending
153390,CAIU6195977,"Compacstone USA, Inc",INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
155259,MEDU5655981,FMG Shapes Srl,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
155507C,MSBU1828245,CTM DOGAL TAS IC VE DIS TICARET ANONIM SIRKETI,INTRANSIT,Missing,Complete,Complete,Complete,OF,,Missing
155674,MRKU7248456,Global Surfaces Limited - Quartz,INTRANSIT,Complete,Complete,Complete,Complete,,,Complete
155711,HASU1321167,Quantra Natural Quartz Surfaces UNIT 2 | Pokarna Engineered Stone Limited,INTRANSIT,Pending,Pending,Pending,Pending,,"OF, CUSTOMS, DUTY, DRAYAGE",Pending
155711B,HASU1321167,Quantra Natural Quartz Surfaces UNIT 2 | Pokarna Engineered Stone Limited,INTRANSIT,Pending,Pending,Pending,Pending,,"OF, CUSTOMS, DUTY, DRAYAGE",Pending
155712,MRKU7021415,Quantra Natural Quartz Surfaces UNIT 2 | Pokarna Engineered Stone Limited,INTRANSIT,Pending,Pending,Pending,Pending,,"OF, CUSTOMS, DUTY, DRAYAGE",Pending
155716,MRKU9136120,Quantra Natural Quartz Surfaces UNIT 2 | Pokarna Engineered Stone Limited,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
155717,MRKU8449861,Quantra Natural Quartz Surfaces UNIT 2 | Pokarna Engineered Stone Limited,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
155719,CAAU2505644,Quantra Natural Quartz Surfaces UNIT 2 | Pokarna Engineered Stone Limited,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
155720,MAGU2415361,Quantra Natural Quartz Surfaces UNIT 2 | Pokarna Engineered Stone Limited,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
155724,HLXU1052090,Quantra Natural Quartz Surfaces UNIT 2 | Pokarna Engineered Stone Limited,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
155726,MRKU9097370,Quantra Natural Quartz Surfaces UNIT 2 | Pokarna Engineered Stone Limited,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
155727,MSKU5677900,Quantra Natural Quartz Surfaces UNIT 2 | Pokarna Engineered Stone Limited,INTRANSIT,Pending,Pending,Pending,Pending,,"OF, CUSTOMS, DUTY, DRAYAGE",Pending
155728,BMOU1447551,Quantra Natural Quartz Surfaces UNIT 2 | Pokarna Engineered Stone Limited,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
155729,MRKU8604269,Quantra Natural Quartz Surfaces UNIT 2 | Pokarna Engineered Stone Limited,INTRANSIT,Pending,Pending,Pending,Pending,,"OF, CUSTOMS, DUTY, DRAYAGE",Pending
155730,SUDU7323982,Quantra Natural Quartz Surfaces UNIT 2 | Pokarna Engineered Stone Limited,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
155732,MRSU0125200,Quantra Natural Quartz Surfaces UNIT 2 | Pokarna Engineered Stone Limited,INTRANSIT,Pending,Pending,Pending,Pending,,"OF, CUSTOMS, DUTY, DRAYAGE",Pending
155737,SUDU7530423,Quantra Natural Quartz Surfaces UNIT 2 | Pokarna Engineered Stone Limited,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
155742,FTAU2096640,Quantra Natural Quartz Surfaces UNIT 2 | Pokarna Engineered Stone Limited,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
155756,BSIU3314635,Quantra Natural Quartz Surfaces UNIT 2 | Pokarna Engineered Stone Limited,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
155759,MRKU9357121,Quantra Natural Quartz Surfaces UNIT 2 | Pokarna Engineered Stone Limited,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
155761,HASU1030259,Quantra Natural Quartz Surfaces UNIT 2 | Pokarna Engineered Stone Limited,INTRANSIT,Pending,Pending,Pending,Pending,,"OF, CUSTOMS, DUTY, DRAYAGE",Pending
155933B,SEGU3671280,NIKOLAUS BAGNARA SPA - AG,INTRANSIT,Pending,Pending,Pending,Pending,,"OF, CUSTOMS, DUTY, DRAYAGE",Pending
156256,MEDU3198757,Quantra Natural Quartz Surfaces UNIT 2 | Pokarna Engineered Stone Limited,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
156353B,MSBU1828245,CTM DOGAL TAS IC VE DIS TICARET ANONIM SIRKETI,INTRANSIT,Missing,Complete,Complete,Complete,OF,,Missing
156858,BSIU2815550,Global Surfaces FZE,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
156873,MSKU3698061,Global Surfaces FZE,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
157623,SUDU7832212,Global Surfaces FZE,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
157641,MRKU8437156,Sunex Stones Private Limited,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
157641B,MRKU8437156,Sunex Stones Private Limited,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
159840,MRKU8892801,QuartzKraft LLP,INTRANSIT,Pending,Pending,Pending,Pending,,"OF, CUSTOMS, DUTY, DRAYAGE",Pending
159840B,MRKU8892801,QuartzKraft LLP,INTRANSIT,Pending,Pending,Pending,Pending,,"OF, CUSTOMS, DUTY, DRAYAGE",Pending
159840C,MRKU8892801,QuartzKraft LLP,INTRANSIT,Pending,Pending,Pending,Pending,,"OF, CUSTOMS, DUTY, DRAYAGE",Pending
159842,MSKU5752243,QuartzKraft LLP,INTRANSIT,Pending,Pending,Pending,Pending,,"OF, CUSTOMS, DUTY, DRAYAGE",Pending
159842B,MSKU5752243,QuartzKraft LLP,INTRANSIT,Pending,Pending,Pending,Pending,,"OF, CUSTOMS, DUTY, DRAYAGE",Pending
159842C,MSKU5752243,QuartzKraft LLP,INTRANSIT,Pending,Pending,Pending,Pending,,"OF, CUSTOMS, DUTY, DRAYAGE",Pending
159843,MSKU5760613,QuartzKraft LLP,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
159843B,MSKU5760613,QuartzKraft LLP,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
159843C,MSKU5760613,QuartzKraft LLP,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
159851,MRKU7299746,Global Surfaces FZE,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
159851B,TTNU1290366,Global Surfaces FZE,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
159853,HASU1399735,Global Surfaces FZE,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
159854,HASU1399735,Global Surfaces FZE,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
159855,MRKU7299746,Global Surfaces FZE,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
159898,MRKU9596846,Global Surfaces FZE,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
159898B,TRHU2288240,Global Surfaces FZE,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
159898C,TRHU2288240,Global Surfaces FZE,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
159899,MRKU9770768,Global Surfaces FZE,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
159901,MSKU7772465,Global Surfaces FZE,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
159901B,MSKU7772465,Global Surfaces FZE,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
159903,MSKU3698061,Global Surfaces FZE,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
159903B,MSKU3698061,Global Surfaces FZE,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
159912,MRKU7248456,Global Surfaces Limited - Quartz,INTRANSIT,Complete,Complete,Complete,Complete,,,Complete
164306,MSKU7772465,Global Surfaces FZE,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
164307,TRHU2288240,Global Surfaces FZE,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
164308,TTNU1290366,Global Surfaces FZE,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
164310,MRKU9596846,Global Surfaces FZE,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
164313,MRKU9770768,Global Surfaces FZE,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
164322,MRKU8277490,Global Surfaces Limited - Quartz,INTRANSIT,Pending,Pending,Pending,Pending,,"OF, CUSTOMS, DUTY, DRAYAGE",Pending
164323,MRKU7490958,Global Surfaces Limited - Quartz,INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
164324,GLDU5582250,Global Surfaces Limited - Quartz,INTRANSIT,Pending,Pending,Pending,Pending,,"OF, CUSTOMS, DUTY, DRAYAGE",Pending
166027C,MSMU2833403,Stone Pro Di Galeazzi Francesco,INTRANSIT,Pending,Pending,Pending,Pending,,"OF, CUSTOMS, DUTY, DRAYAGE",Pending
166027D,MSMU2833403,Stone Pro Di Galeazzi Francesco,INTRANSIT,Pending,Pending,Pending,Pending,,"OF, CUSTOMS, DUTY, DRAYAGE",Pending
166028,MSMU1056280,FMG Shapes Srl,INTRANSIT,Pending,Complete,Pending,Pending,,"OF, DUTY, DRAYAGE",Pending
166028B,MSMU1056280,FMG Shapes Srl,INTRANSIT,Pending,Complete,Pending,Pending,,"OF, DUTY, DRAYAGE",Pending
166371E,MSMU2833403,Stone Pro Di Galeazzi Francesco,INTRANSIT,Pending,Pending,Pending,Pending,,"OF, CUSTOMS, DUTY, DRAYAGE",Pending
166371F,MSMU2833403,Stone Pro Di Galeazzi Francesco,INTRANSIT,Pending,Pending,Pending,Pending,,"OF, CUSTOMS, DUTY, DRAYAGE",Pending
166980B,MSMU3424396,"Ruipedra, World of Natural Stone, S.A.",INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
167521,MSNU1228696,Ceramiche Marca Corona,INTRANSIT,Missing,Complete,Complete,Complete,OF,,Missing
167577C,MSNU2606430,"Ruipedra, World of Natural Stone, S.A.",INTRANSIT,Pending,Complete,Complete,Pending,,"OF, DRAYAGE",Pending
167671,MSMU2833403,Stone Pro Di Galeazzi Francesco,INTRANSIT,Pending,Pending,Pending,Pending,,"OF, CUSTOMS, DUTY, DRAYAGE",Pending
168250,MSMU2833403,Stone Pro Di Galeazzi Francesco,INTRANSIT,Pending,Pending,Pending,Pending,,"OF, CUSTOMS, DUTY, DRAYAGE",Pending
168250B,MSMU2833403,Stone Pro Di Galeazzi Francesco,INTRANSIT,Pending,Pending,Pending,Pending,,"OF, CUSTOMS, DUTY, DRAYAGE",Pending
168733,GESU1342091,"Apollo Stone Imports, Inc.",INTRANSIT,Missing,Missing,Missing,Missing,"OF, CUSTOMS, DUTY, DRAYAGE",,Missing
