sipl,container,supplier,status,port_eta,location_eta,sipl_status,Ocean Freight_status,Customs_status,Duty_status,Drayage_status,overall_status,missing_categories,pending_categories
145739,CAIU6195977,"Compacstone USA, Inc",INTRANSIT,7/12/2026,7/19/2026,Documents Sent,Missing,Missing,Missing,Missing,Missing,"Ocean Freight, Customs, Duty, Drayage",
153390,CAIU6195977,"Compacstone USA, Inc",INTRANSIT,7/12/2026,7/19/2026,Documents Sent,Missing,Missing,Missing,Missing,Missing,"Ocean Freight, Customs, Duty, Drayage",
155507C,MSBU1828245,CTM DOGAL TAS IC VE DIS TICARET ANONIM SIRKETI,INTRANSIT,6/10/2026,6/26/2026,At branch,Complete,Complete,Complete,Complete,Complete,,
155674,MRKU7248456,Global Surfaces Limited - Quartz,INTRANSIT,7/10/2026,7/17/2026,D.Os  Received,Complete,Pending,Pending,Pending,Pending,,"Customs, Duty, Drayage"
155761,HASU1030259,Quantra Natural Quartz Surfaces UNIT 2 | Pokarna Engineered Stone Limited,INTRANSIT,7/2/2026,7/7/2026,Delivery Pending,Complete,Pending,Pending,Pending,Pending,,"Customs, Duty, Drayage"
155933B,SEGU3671280,NIKOLAUS BAGNARA SPA - AG,INTRANSIT,7/9/2026,7/16/2026,SIPL Ready,Complete,Pending,Pending,Pending,Pending,,"Customs, Duty, Drayage"
156256,MEDU3198757,Quantra Natural Quartz Surfaces UNIT 2 | Pokarna Engineered Stone Limited,INTRANSIT,7/10/2026,7/17/2026,D.Os  Received,Missing,Missing,Missing,Missing,Missing,"Ocean Freight, Customs, Duty, Drayage",
156353B,MSBU1828245,CTM DOGAL TAS IC VE DIS TICARET ANONIM SIRKETI,INTRANSIT,6/10/2026,6/26/2026,At branch,Complete,Complete,Complete,Complete,Complete,,
159840,MRKU8892801,QuartzKraft LLP,INTRANSIT,7/1/2026,7/7/2026,At branch,Complete,Pending,Pending,Pending,Pending,,"Customs, Duty, Drayage"
159840B,MRKU8892801,QuartzKraft LLP,INTRANSIT,7/1/2026,7/7/2026,At branch,Complete,Pending,Pending,Pending,Pending,,"Customs, Duty, Drayage"
159840C,MRKU8892801,QuartzKraft LLP,INTRANSIT,7/1/2026,7/7/2026,At branch,Complete,Pending,Pending,Pending,Pending,,"Customs, Duty, Drayage"
159842,MSKU5752243,QuartzKraft LLP,INTRANSIT,7/1/2026,7/8/2026,At branch,Complete,Pending,Pending,Pending,Pending,,"Customs, Duty, Drayage"
159842B,MSKU5752243,QuartzKraft LLP,INTRANSIT,7/1/2026,7/8/2026,At branch,Complete,Pending,Pending,Pending,Pending,,"Customs, Duty, Drayage"
159842C,MSKU5752243,QuartzKraft LLP,INTRANSIT,7/1/2026,7/8/2026,At branch,Complete,Pending,Pending,Pending,Pending,,"Customs, Duty, Drayage"
159843,MSKU5760613,QuartzKraft LLP,INTRANSIT,7/1/2026,7/8/2026,D.Os  Received,Complete,Missing,Missing,Missing,Missing,"Customs, Duty, Drayage",
159843B,MSKU5760613,QuartzKraft LLP,INTRANSIT,7/1/2026,7/8/2026,D.Os  Received,Complete,Missing,Missing,Missing,Missing,"Customs, Duty, Drayage",
159843C,MSKU5760613,QuartzKraft LLP,INTRANSIT,7/1/2026,7/8/2026,D.Os  Received,Complete,Missing,Missing,Missing,Missing,"Customs, Duty, Drayage",
159912,MRKU7248456,Global Surfaces Limited - Quartz,INTRANSIT,7/10/2026,7/17/2026,D.Os  Received,Complete,Pending,Pending,Pending,Pending,,"Customs, Duty, Drayage"
164322,MRKU8277490,Global Surfaces Limited - Quartz,INTRANSIT,7/10/2026,7/17/2026,D.Os  Received,Complete,Pending,Pending,Pending,Pending,,"Customs, Duty, Drayage"
164323,MRKU7490958,Global Surfaces Limited - Quartz,INTRANSIT,7/10/2026,7/17/2026,D.Os  Received,Complete,Missing,Missing,Missing,Missing,"Customs, Duty, Drayage",
164324,GLDU5582250,Global Surfaces Limited - Quartz,INTRANSIT,7/10/2026,7/17/2026,D.Os  Received,Complete,Pending,Pending,Pending,Pending,,"Customs, Duty, Drayage"
166027C,MSMU2833403,Stone Pro Di Galeazzi Francesco,INTRANSIT,6/5/2026,6/12/2026,SIPL Ready,Complete,Pending,Pending,Pending,Pending,,"Customs, Duty, Drayage"
166027D,MSMU2833403,Stone Pro Di Galeazzi Francesco,INTRANSIT,6/5/2026,6/12/2026,SIPL Ready,Complete,Pending,Pending,Pending,Pending,,"Customs, Duty, Drayage"
166980B,MSMU3424396,"Ruipedra, World of Natural Stone, S.A.",INTRANSIT,7/3/2026,7/10/2026,D.Os  Received,Missing,Missing,Missing,Missing,Missing,"Ocean Freight, Customs, Duty, Drayage",
167521,MSNU1228696,Ceramiche Marca Corona,INTRANSIT,6/18/2026,7/6/2026,At branch,Complete,Complete,Complete,Complete,Complete,,
167577C,MSNU2606430,"Ruipedra, World of Natural Stone, S.A.",INTRANSIT,7/3/2026,7/10/2026,D.Os  Received,Complete,Complete,Complete,Pending,Pending,,Drayage
169063,MSDU2857097,Ceramiche Marca Corona,INTRANSIT,7/6/2026,7/13/2026,On Hold,Missing,Missing,Missing,Missing,Missing,"Ocean Freight, Customs, Duty, Drayage",
169326,MSNU7395469,Kronos 2 Ceramiche S.p.A,INTRANSIT,7/5/2026,7/9/2026,Scheduled for Delivery,Missing,Missing,Missing,Missing,Missing,"Ocean Freight, Customs, Duty, Drayage",
169571,MSDU1440513,GRESPANIA SA,INTRANSIT,7/9/2026,7/10/2026,Scheduled for Delivery,Pending,Pending,Pending,Pending,Pending,,"Ocean Freight, Customs, Duty, Drayage"
169611B,MSNU7395469,Emilceramica S.r.l (dba Emilgroup),INTRANSIT,7/5/2026,7/9/2026,Scheduled for Delivery,Missing,Missing,Missing,Missing,Missing,"Ocean Freight, Customs, Duty, Drayage",
169616B,MSNU7395469,Kronos 2 Ceramiche S.p.A,INTRANSIT,7/5/2026,7/9/2026,Scheduled for Delivery,Missing,Missing,Missing,Missing,Missing,"Ocean Freight, Customs, Duty, Drayage",
169617,MSNU7395469,COEM /FIORENESE,INTRANSIT,7/5/2026,7/9/2026,Scheduled for Delivery,Missing,Missing,Missing,Missing,Missing,"Ocean Freight, Customs, Duty, Drayage",
169657B,MSDU7956662,"StonePeak Ceramics, Inc",INTRANSIT,6/22/2026,6/26/2026,At branch,Missing,Missing,Missing,Missing,Missing,"Ocean Freight, Customs, Duty, Drayage",
169961,CAIU6195977,"Compacstone USA, Inc",INTRANSIT,7/12/2026,7/19/2026,Documents Sent,Missing,Missing,Missing,Missing,Missing,"Ocean Freight, Customs, Duty, Drayage",
169976,FCIU4308603,Ecoceramic Ceramica,INTRANSIT,7/4/2026,7/11/2026,D.Os  Received,Missing,Missing,Missing,Missing,Missing,"Ocean Freight, Customs, Duty, Drayage",
170016,FTAU1244280,Thor Bahia Granitos LTDA - EPP,INTRANSIT,7/6/2026,7/13/2026,D.Os  Received,Complete,Complete,Complete,Pending,Pending,,Drayage
170081,MSMU1753221,Decolores Marmores E Granitos Do Brasil Ltda,INTRANSIT,7/6/2026,7/13/2026,On Hold,Missing,Missing,Missing,Missing,Missing,"Ocean Freight, Customs, Duty, Drayage",
170089,MEDU3110874,Gmp-Graniti Marmi Pietre S.P.A.,INTRANSIT,7/6/2026,7/13/2026,D.Os  Received,Complete,Complete,Missing,Missing,Missing,"Duty, Drayage",
170107,MSMU1753221,Decolores Marmores E Granitos Do Brasil Ltda,INTRANSIT,7/6/2026,7/13/2026,On Hold,Missing,Missing,Missing,Missing,Missing,"Ocean Freight, Customs, Duty, Drayage",
170135,MSMU3540210,INFINITY ENGINEERED SURFACE,INTRANSIT,7/9/2026,7/16/2026,D.Os  Received,Missing,Missing,Missing,Missing,Missing,"Ocean Freight, Customs, Duty, Drayage",
170142,MSDU7956662,41zero42 srl,INTRANSIT,6/22/2026,6/26/2026,At branch,Missing,Missing,Missing,Missing,Missing,"Ocean Freight, Customs, Duty, Drayage",
170191,MSNU1343956,Black Eagle Surfaces SRL,INTRANSIT,7/6/2026,7/13/2026,D.Os  Received,Complete,Pending,Pending,Pending,Pending,,"Customs, Duty, Drayage"
170211,MSNU7395469,Florim Ceramiche Spa SB,INTRANSIT,7/5/2026,7/9/2026,Scheduled for Delivery,Missing,Missing,Missing,Missing,Missing,"Ocean Freight, Customs, Duty, Drayage",
170278,MSNU3140602,Fincibec S.p.a.,INTRANSIT,7/6/2026,7/13/2026,D.Os  Received,Missing,Missing,Missing,Missing,Missing,"Ocean Freight, Customs, Duty, Drayage",
170281B,TLLU3415434,Natural Stones S.R.L.,INTRANSIT,7/6/2026,7/13/2026,SIPL Ready,Complete,Complete,Complete,Pending,Pending,,Drayage
170325,MSDU7956662,Kronos 2 Ceramiche S.p.A,INTRANSIT,6/22/2026,6/26/2026,At branch,Missing,Missing,Missing,Missing,Missing,"Ocean Freight, Customs, Duty, Drayage",
170371,TLLU3415434,Natural Stones S.R.L.,INTRANSIT,7/6/2026,7/13/2026,SIPL Ready,Complete,Complete,Complete,Pending,Pending,,Drayage
